song,artist,releaseYear,wasFirst,hasYear,playCount
Yer So Bad,Tom Petty & The Heartbreakers,,1,0,1
867-5309 / Jenny,Tommy Tutone,1982,1,1,11
If You Could Only See,Tonic,,1,0,1
Hold The Line,Toto,1978,1,1,72
AFRICA,Toto,1982,1,1,2
Dear Mr. Fantasy,Traffic,,1,0,4
Empty Pages,Traffic,,1,0,2
Medicated Goo,Traffic,,1,0,1
Medusa,Trapeze,,1,0,1
Lay It On the Line,Triumph,,1,0,52
Magic Power,Triumph,,1,0,27
Fight The Good Fight,Triumph,,1,0,7
Hold On,Triumph,1979,1,1,1
I Can Survive,Triumph,,1,0,1
Happy Together,Turtles,1967,1,1,1
We're Not Gonna Take It,Twisted Sister,1984,1,1,39
I Wanna Rock,Twisted Sister,1984,1,1,7
New Year's Day,U2,1983,1,1,88
Pride (In the Name of Love),U2,1984,1,1,60
Sunday Bloody Sunday,U2,1983,1,1,54
I Still Haven't Found What I'm Looking For,U2,1987,1,1,53
With Or Without You,U2,1987,1,1,49
Mysterious Ways,U2,1991,1,1,38
Where the Streets Have No Name,U2,1987,1,1,36
One,U2,1991,1,1,18
Desire,U2,1988,1,1,13
Beautiful Day,U2,2000,1,1,7
Bad,U2,1984,1,1,5
Bullet the Blue Sky,U2,1987,1,1,5
MLK/Pride,U2,1984,1,1,5
I Will Follow,U2,1980,1,1,4
Even Better Than the Real Thing,U2,1991,1,1,3
Vertigo,U2,2004,1,1,3
Angel Of Harlem,U2,1988,1,1,1
Sweetest Thing,U2,1987,1,1,1
When Love Comes to Town,U2,1988,1,1,1
Red Red Wine,UB40,1983,1,1,2
Too Hot To Handle,UFO,,1,0,19
Lights Out (Live),UFO,1976,1,1,1
Easy Livin',Uriah Heep,,1,0,4
Stealin',Uriah Heep,1973,1,1,2
The Wizard,Uriah Heep,1972,1,1,1
Dance the Night Away,Van Halen,1979,1,1,106
Jamie's Cryin',Van Halen,1978,1,1,96
Panama,Van Halen,1984,1,1,89
Runnin' with the Devil,Van Halen,1978,1,1,81
Jump,Van Halen,1984,1,1,72
You Really Got Me,Van Halen,1978,1,1,70
Ain't Talkin' 'bout Love,Van Halen,1978,1,1,69
Dancing In the Street,Van Halen,1982,1,1,57
I'll Wait,Van Halen,,1,0,53
Hot for Teacher,Van Halen,1984,1,1,52
Unchained,Van Halen,1981,1,1,49
Beautiful Girls,Van Halen,1979,1,1,44
Why Can't This Be Love,Van Halen,1986,1,1,44
And the Cradle Will Rock...,Van Halen,1980,1,1,43
(Oh) Pretty Woman,Van Halen,1982,1,1,34
Finish What Ya Started,Van Halen,,1,0,27
Dreams,Van Halen,1986,1,1,25
Eruption - You Really Got Me,Van Halen,1978,1,1,25
Right Now,Van Halen,1991,1,1,25
Top Jimmy,Van Halen,,1,0,23
When It's Love,Van Halen,1988,1,1,22
Feel Your Love Tonight,Van Halen,,1,0,20
Everybody Wants Some!!,Van Halen,1980,1,1,16
Ice Cream Man,Van Halen,1978,1,1,13
Little Dreamer,Van Halen,,1,0,11
Intruder/ Pretty Woman,Van Halen,,1,0,10
Black And Blue,Van Halen,,1,0,9
Take Your Whiskey Home,Van Halen,,1,0,8
Best Of Both Worlds,Van Halen,,1,0,6
Little Guitars,Van Halen,1982,1,1,6
PRETTY WOMAN,Van Halen,,1,0,5
Top of the World,Van Halen,,1,0,5
Drop Dead Legs,Van Halen,,1,0,4
I'm the One,Van Halen,1978,1,1,4
Love Walks In,Van Halen,1986,1,1,4
Summer Nights,Van Halen,1986,1,1,4
1984/jump,Van Halen,1984,1,1,3
Somebody Get Me A Doctor,Van Halen,,1,0,3
Atomic Punk,Van Halen,,1,0,1
Feels So Good,Van Halen,,1,0,1
Mean Street,Van Halen,,1,0,1
Poundcake,Van Halen,1991,1,1,1
Runaround,Van Halen,,1,0,1
Where Have All the Good Times Gone!,Van Halen,1982,1,1,1
Brown Eyed Girl,Van Morrison,1967,1,1,55
Moondance,Van Morrison,1970,1,1,14
Wild Night,Van Morrison,1971,1,1,5
And It Stoned Me,Van Morrison,,1,0,1
BLUE MONEY,Van Morrison,,1,0,1
CRAZY LOVE,Van Morrison,1970,1,1,1
Domino,Van Morrison,1970,1,1,1
Gloria,Van Morrison,,1,0,1
Into The Mystic,Van Morrison,1970,1,1,1
Jackie Wilson Said,Van Morrison,,1,0,1
Blister In the Sun,Violent Femmes,1982,1,1,1
Edge of a Broken Heart,Vixen,,1,0,2
Low Rider,War,1975,1,1,81
The Cisco Kid,War,1972,1,1,3
Spill the Wine,War,1970,1,1,2
Why Can't We Be Friends,War,1975,1,1,1
Cherry Pie,Warrant,1990,1,1,6
Uncle Tom's Cabin,Warrant,,1,0,1
Werewolves of London,Warren Zevon,1978,1,1,52
"Lawyers, Guns and Money",Warren Zevon,1978,1,1,3
Buddy Holly,Weezer,1994,1,1,2
Street Corner Serenade,Wet Willie,,1,0,2
Wait,White Lion,,1,0,1
Here I Go Again,Whitesnake,1987,1,1,84
Still of the Night,Whitesnake,,1,0,14
Is This Love,Whitesnake,1987,1,1,7
Slow An' Easy,Whitesnake,,1,0,6
Fool for Your Loving,Whitesnake,1980,1,1,3
Slide It In,Whitesnake,1984,1,1,1
Who Are You?,Why Not,,1,0,5
PLAY THAT FUNKY MUSIC,Wild Cherry,1976,1,1,4
Night Moves,Wildlife,,1,0,23
We've Got Tonight,Wildlife,,1,0,4
Seventeen,Winger,,1,0,2
Can't Get Enough,Winger,,1,0,1
Headed For A Heartbreak,Winger,,1,0,1
Persephone,Wishbone Ash,1980,1,1,1
Summertime Girls,Y&T,,1,0,4
Owner of a Lonely Heart,Yes,1983,1,1,81
Roundabout,Yes,1971,1,1,44
Long Distance Runaround,Yes,1972,1,1,35
I've Seen All Good People,Yes,1971,1,1,34
Leave It,Yes,1983,1,1,20
Changes,Yes,1983,1,1,13
Wonderous Stories,Yes,,1,0,5
It Can Happen,Yes,1983,1,1,3
Starship Trooper,Yes,1971,1,1,1
Yours Is No Disgrace,Yes,1971,1,1,1
Tell Me What You Want,Zebra,,1,0,2
Who's Behind The Door,Zebra,,1,0,1
Time of the Season,Zombies,1968,1,1,14
Legs,ZZ Top,1983,1,1,121
Sharp Dressed Man,ZZ Top,1983,1,1,120
La Grange,ZZ Top,1973,1,1,111
Tush,ZZ Top,1975,1,1,109
Gimme All Your Lovin,ZZ Top,1983,1,1,86
Cheap Sunglasses,ZZ Top,1980,1,1,34
Tube Snake Boogie,ZZ Top,1981,1,1,32
Got Me Under Pressure,ZZ Top,1983,1,1,29
I Thank You,ZZ Top,,1,0,16
Party On The Patio,ZZ Top,,1,0,14
"I'm Bad, I'm Nationwide",ZZ Top,,1,0,10
Beer Drinkers & Hell Raisers,ZZ Top,1973,1,1,8
Jesus Just Left Chicago,ZZ Top,1973,1,1,6
Pearl Necklace,ZZ Top,1981,1,1,5
Heard It On the X,ZZ Top,1975,1,1,2
Just Got Paid,ZZ Top,,1,0,2
WAITIN' FOR THE BUS/JESUS JUST LEFT CHICAGO,ZZ Top,1973,1,1,2
A Fool for Your Stockings,ZZ Top,,1,0,1
Arrested For Driving While Blind,ZZ Top,1976,1,1,1
My Head's In Mississippi,ZZ Top,,1,0,1
She Loves My Automobile,ZZ Top,,1,0,1
TV Dinners,ZZ Top,1983,1,1,1
